product_name,client_name,date,month_num,month_name,week_of_month,quantity,cost_price,sale_price,total_order,profit,payment,debt
Product_23,Client_018,2025-06-16,6,June,3,5,11.74,18.35,91.75,33.05,91.75,0.0
Product_02,Client_170,2025-03-05,3,March,1,2,8.37,9.5,19.0,2.26,0.0,19.0
Product_08,Client_198,2025-05-12,5,May,2,1,23.05,38.34,38.34,15.29,38.34,0.0
Product_10,Client_021,2025-05-23,5,May,4,1,7.8,13.4,13.4,5.6,13.4,0.0
Product_28,Client_060,2025-03-26,3,March,4,9,22.71,33.37,300.33,95.94,150.16,150.17
Product_28,Client_026,2025-11-05,11,November,1,5,20.86,27.38,136.9,32.6,136.9,0.0
Product_13,Client_072,2025-07-17,7,July,3,5,11.98,19.0,95.0,35.1,23.75,71.25
Product_15,Client_163,2025-08-04,8,August,1,6,16.93,19.4,116.4,14.82,116.4,0.0
Product_27,Client_094,2025-07-30,7,July,5,5,19.51,28.8,144.0,46.45,144.0,0.0
Product_06,Client_095,2025-11-19,11,November,3,2,19.62,22.08,44.16,4.92,0.0,44.16
Product_12,Client_054,2025-04-19,4,April,3,2,8.37,13.18,26.36,9.62,26.36,0.0
Product_22,Client_069,2025-05-23,5,May,4,6,10.95,16.89,101.34,35.64,0.0,101.34
Product_23,Client_175,2025-09-10,9,September,2,6,13.57,16.27,97.62,16.2,97.62,0.0
Product_21,Client_019,2025-08-16,8,August,3,6,8.83,12.72,76.32,23.34,57.24,19.08
Product_20,Client_163,2025-10-26,10,October,4,3,5.62,9.29,27.87,11.01,20.9,6.97
Product_06,Client_137,2025-09-07,9,September,1,5,19.47,25.14,125.7,28.35,125.7,0.0
Product_24,Client_063,2025-05-16,5,May,3,3,14.22,25.81,77.43,34.77,77.43,0.0
Product_06,Client_119,2025-01-21,1,January,3,6,17.58,20.04,120.24,14.76,120.24,0.0
Product_13,Client_070,2025-04-26,4,April,4,3,11.44,14.65,43.95,9.63,43.95,0.0
Product_30,Client_164,2025-09-01,9,September,1,4,4.3,7.88,31.52,14.32,31.52,0.0
Product_23,Client_143,2025-09-02,9,September,1,3,10.66,15.54,46.62,14.64,46.62,0.0
Product_08,Client_176,2025-01-11,1,January,2,7,21.09,24.27,169.89,22.26,84.94,84.95
Product_11,Client_197,2025-05-06,5,May,1,6,6.82,8.5,51.0,10.08,51.0,0.0
Product_25,Client_015,2025-01-17,1,January,3,2,15.07,16.57,33.14,3.0,33.14,0.0
Product_08,Client_009,2025-03-27,3,March,4,4,23.17,35.04,140.16,47.48,140.16,0.0
Product_26,Client_081,2025-05-21,5,May,3,9,18.91,28.02,252.18,81.99,63.04,189.14
Product_13,Client_069,2025-07-10,7,July,2,6,11.84,21.62,129.72,58.68,129.72,0.0
Product_03,Client_055,2025-11-11,11,November,2,2,10.52,11.86,23.72,2.68,23.72,0.0
Product_30,Client_146,2025-08-04,8,August,1,4,6.67,7.75,31.0,4.32,31.0,0.0
Product_29,Client_184,2025-05-18,5,May,3,2,22.35,25.91,51.82,7.12,51.82,0.0
Product_11,Client_055,2025-02-17,2,February,3,3,9.2,13.66,40.98,13.38,20.49,20.49
Product_21,Client_128,2025-01-26,1,January,4,3,9.95,15.8,47.4,17.55,47.4,0.0
Product_13,Client_165,2025-12-23,12,December,4,3,10.59,13.05,39.15,7.38,19.58,19.57
Product_15,Client_037,2025-11-15,11,November,3,1,17.47,23.28,23.28,5.81,23.28,0.0
Product_09,Client_036,2025-07-05,7,July,1,4,24.14,29.76,119.04,22.48,119.04,0.0
Product_08,Client_191,2025-10-03,10,October,1,6,22.26,29.87,179.22,45.66,44.8,134.42
Product_18,Client_138,2025-02-27,2,February,4,5,20.61,25.26,126.3,23.25,126.3,0.0
Product_09,Client_192,2025-08-23,8,August,4,2,22.07,36.2,72.4,28.26,18.1,54.3
Product_19,Client_110,2025-04-28,4,April,4,2,25.9,37.67,75.34,23.54,37.67,37.67
Product_29,Client_150,2025-02-15,2,February,3,4,25.87,40.86,163.44,59.96,122.58,40.86
Product_13,Client_093,2025-12-15,12,December,3,3,12.02,21.16,63.48,27.42,63.48,0.0
Product_08,Client_036,2025-06-18,6,June,3,4,22.74,25.15,100.6,9.64,100.6,0.0
Product_17,Client_127,2025-09-11,9,September,2,4,21.4,34.76,139.04,53.44,34.76,104.28
Product_03,Client_194,2025-11-09,11,November,2,5,13.13,22.94,114.7,49.05,86.02,28.68
Product_02,Client_029,2025-03-21,3,March,3,2,10.54,18.38,36.76,15.68,36.76,0.0
Product_05,Client_161,2025-02-08,2,February,2,6,16.31,21.76,130.56,32.7,130.56,0.0
Product_06,Client_175,2025-05-08,5,May,2,4,18.92,29.54,118.16,42.48,59.08,59.08
Product_14,Client_153,2025-01-20,1,January,3,7,12.82,20.81,145.67,55.93,109.25,36.42
Product_03,Client_099,2025-06-06,6,June,1,5,12.16,17.52,87.6,26.8,65.7,21.9
Product_13,Client_153,2025-11-19,11,November,3,4,10.73,19.24,76.96,34.04,76.96,0.0
Product_15,Client_136,2025-10-14,10,October,2,4,15.02,24.64,98.56,38.48,98.56,0.0
Product_09,Client_142,2025-04-05,4,April,1,5,23.7,39.34,196.7,78.2,49.18,147.52
Product_28,Client_003,2025-07-01,7,July,1,4,23.68,40.85,163.4,68.68,163.4,0.0
Product_22,Client_185,2025-05-15,5,May,3,2,11.21,11.98,23.96,1.54,23.96,0.0
Product_04,Client_175,2025-09-26,9,September,4,5,12.9,17.7,88.5,24.0,88.5,0.0
Product_29,Client_138,2025-07-20,7,July,3,6,24.65,30.6,183.6,35.7,183.6,0.0
Product_25,Client_069,2025-06-22,6,June,4,3,16.38,19.02,57.06,7.92,57.06,0.0
Product_25,Client_165,2025-03-30,3,March,5,2,14.15,20.5,41.0,12.7,41.0,0.0
Product_11,Client_029,2025-03-15,3,March,3,6,7.34,9.13,54.78,10.74,54.78,0.0
Product_10,Client_112,2025-03-14,3,March,2,8,4.78,7.52,60.16,21.92,60.16,0.0
Product_06,Client_117,2025-05-03,5,May,1,10,17.63,22.47,224.7,48.4,224.7,0.0
Product_01,Client_185,2025-01-23,1,January,4,5,9.64,14.81,74.05,25.85,37.02,37.03
Product_29,Client_185,2025-03-23,3,March,4,1,25.32,34.19,34.19,8.87,34.19,0.0
Product_09,Client_129,2025-05-12,5,May,2,4,24.26,43.84,175.36,78.32,175.36,0.0
Product_25,Client_046,2025-02-19,2,February,3,5,16.58,22.42,112.1,29.2,28.02,84.08
Product_17,Client_028,2025-02-23,2,February,4,6,19.62,28.86,173.16,55.44,173.16,0.0
Product_28,Client_161,2025-06-21,6,June,3,4,22.53,32.66,130.64,40.52,65.32,65.32
Product_10,Client_164,2025-05-28,5,May,4,5,4.36,6.74,33.7,11.9,16.85,16.85
Product_17,Client_156,2025-11-04,11,November,1,5,21.75,34.72,173.6,64.85,173.6,0.0
Product_07,Client_040,2025-04-19,4,April,3,2,19.99,30.11,60.22,20.24,45.16,15.06
Product_12,Client_196,2025-05-09,5,May,2,3,10.75,14.79,44.37,12.12,22.18,22.19
Product_06,Client_139,2025-05-12,5,May,2,4,16.37,28.22,112.88,47.4,0.0,112.88
Product_25,Client_136,2025-07-17,7,July,3,6,16.77,28.29,169.74,69.12,169.74,0.0
Product_30,Client_001,2025-11-26,11,November,4,2,4.18,7.73,15.46,7.1,15.46,0.0
Product_20,Client_083,2025-06-26,6,June,4,2,6.92,8.0,16.0,2.16,16.0,0.0
Product_16,Client_005,2025-02-20,2,February,3,4,18.39,22.22,88.88,15.32,88.88,0.0
Product_04,Client_093,2025-05-11,5,May,2,3,13.26,20.37,61.11,21.33,61.11,0.0
Product_29,Client_079,2025-02-01,2,February,1,4,25.48,28.41,113.64,11.72,113.64,0.0
Product_08,Client_015,2025-03-27,3,March,4,6,23.49,43.04,258.24,117.3,258.24,0.0
Product_08,Client_146,2025-07-20,7,July,3,3,21.42,27.2,81.6,17.34,81.6,0.0
Product_03,Client_022,2025-09-16,9,September,3,1,13.95,19.39,19.39,5.44,19.39,0.0
Product_24,Client_125,2025-12-27,12,December,4,4,15.52,27.73,110.92,48.84,110.92,0.0
Product_27,Client_018,2025-09-07,9,September,1,6,18.92,22.31,133.86,20.34,133.86,0.0
Product_25,Client_137,2025-03-24,3,March,4,2,17.88,31.98,63.96,28.2,0.0,63.96
Product_25,Client_033,2025-11-10,11,November,2,7,14.14,25.56,178.92,79.94,178.92,0.0
Product_05,Client_169,2025-08-03,8,August,1,3,17.41,18.9,56.7,4.47,14.18,42.52
Product_16,Client_141,2025-11-27,11,November,4,3,18.78,20.97,62.91,6.57,0.0,62.91
Product_06,Client_068,2025-12-05,12,December,1,4,19.63,29.85,119.4,40.88,119.4,0.0
Product_17,Client_156,2025-01-06,1,January,1,4,18.64,24.22,96.88,22.32,24.22,72.66
Product_14,Client_055,2025-04-27,4,April,4,5,15.3,17.71,88.55,12.05,66.41,22.14
Product_30,Client_139,2025-02-04,2,February,1,4,4.34,6.24,24.96,7.6,24.96,0.0
Product_25,Client_187,2025-02-28,2,February,4,1,17.27,19.86,19.86,2.59,19.86,0.0
Product_23,Client_052,2025-09-02,9,September,1,4,13.75,21.17,84.68,29.68,84.68,0.0
Product_23,Client_080,2025-01-12,1,January,2,2,11.38,16.84,33.68,10.92,16.84,16.84
Product_13,Client_172,2025-12-04,12,December,1,4,13.29,18.8,75.2,22.04,75.2,0.0
Product_21,Client_096,2025-07-26,7,July,4,4,9.42,14.77,59.08,21.4,59.08,0.0
Product_15,Client_133,2025-02-15,2,February,3,5,15.73,27.99,139.95,61.3,139.95,0.0
Product_15,Client_031,2025-06-19,6,June,3,5,14.85,16.74,83.7,9.45,83.7,0.0
Product_08,Client_058,2025-12-16,12,December,3,3,20.36,24.13,72.39,11.31,72.39,0.0
Product_03,Client_087,2025-07-03,7,July,1,5,11.85,13.15,65.75,6.5,65.75,0.0
Product_01,Client_151,2025-04-04,4,April,1,3,8.61,11.83,35.49,9.66,35.49,0.0
Product_18,Client_059,2025-01-08,1,January,2,7,23.81,42.16,295.12,128.45,221.34,73.78
Product_19,Client_057,2025-09-17,9,September,3,3,23.93,29.09,87.27,15.48,65.45,21.82
Product_01,Client_019,2025-02-28,2,February,4,2,9.53,11.75,23.5,4.44,23.5,0.0
Product_23,Client_162,2025-07-02,7,July,1,5,12.68,22.11,110.55,47.15,27.64,82.91
Product_02,Client_059,2025-09-06,9,September,1,7,10.45,15.59,109.13,35.98,109.13,0.0
Product_03,Client_009,2025-06-26,6,June,4,3,10.66,15.65,46.95,14.97,46.95,0.0
Product_28,Client_085,2025-12-13,12,December,2,4,22.98,39.52,158.08,66.16,158.08,0.0
Product_03,Client_132,2025-12-18,12,December,3,1,12.61,16.97,16.97,4.36,16.97,0.0
Product_08,Client_072,2025-12-10,12,December,2,3,20.81,34.82,104.46,42.03,0.0,104.46
Product_22,Client_125,2025-10-29,10,October,5,7,10.35,11.39,79.73,7.28,79.73,0.0
Product_07,Client_139,2025-02-04,2,February,1,5,20.49,32.19,160.95,58.5,160.95,0.0
Product_05,Client_186,2025-08-04,8,August,1,3,17.89,22.42,67.26,13.59,67.26,0.0
Product_30,Client_147,2025-06-28,6,June,4,5,6.61,8.79,43.95,10.9,21.98,21.97
Product_19,Client_122,2025-05-31,5,May,5,4,22.94,39.68,158.72,66.96,158.72,0.0
Product_08,Client_122,2025-10-12,10,October,2,5,20.67,23.88,119.4,16.05,89.55,29.85
Product_26,Client_105,2025-05-12,5,May,2,6,16.45,20.21,121.26,22.56,121.26,0.0
Product_07,Client_025,2025-04-26,4,April,4,1,18.49,27.05,27.05,8.56,27.05,0.0
Product_04,Client_169,2025-01-19,1,January,3,1,12.59,23.97,23.97,11.38,23.97,0.0
Product_14,Client_091,2025-02-25,2,February,4,6,12.56,13.59,81.54,6.18,61.16,20.38
Product_14,Client_106,2025-10-28,10,October,4,4,13.78,23.3,93.2,38.08,93.2,0.0
Product_15,Client_187,2025-07-23,7,July,4,7,17.72,28.62,200.34,76.3,200.34,0.0
Product_02,Client_173,2025-05-16,5,May,3,3,12.0,14.49,43.47,7.47,43.47,0.0
Product_21,Client_166,2025-09-21,9,September,3,5,8.67,15.38,76.9,33.55,57.68,19.22
Product_04,Client_016,2025-03-13,3,March,2,4,13.3,17.91,71.64,18.44,71.64,0.0
Product_13,Client_187,2025-12-29,12,December,5,3,10.91,12.76,38.28,5.55,38.28,0.0
Product_11,Client_028,2025-10-02,10,October,1,5,6.1,8.23,41.15,10.65,41.15,0.0
Product_08,Client_050,2025-05-15,5,May,3,7,20.78,22.73,159.11,13.65,39.78,119.33
Product_07,Client_138,2025-09-04,9,September,1,4,18.41,26.05,104.2,30.56,104.2,0.0
Product_15,Client_036,2025-11-29,11,November,5,6,15.65,17.73,106.38,12.48,106.38,0.0
Product_14,Client_047,2025-10-07,10,October,1,3,14.27,19.16,57.48,14.67,57.48,0.0
Product_09,Client_119,2025-07-22,7,July,4,2,24.53,43.96,87.92,38.86,43.96,43.96
Product_08,Client_020,2025-06-28,6,June,4,2,22.44,31.66,63.32,18.44,15.83,47.49
Product_15,Client_141,2025-01-26,1,January,4,4,16.69,28.69,114.76,48.0,114.76,0.0
Product_04,Client_013,2025-07-18,7,July,3,2,15.48,22.31,44.62,13.66,44.62,0.0
Product_21,Client_139,2025-05-15,5,May,3,2,8.55,11.39,22.78,5.68,22.78,0.0
Product_27,Client_004,2025-09-02,9,September,1,4,19.78,31.05,124.2,45.08,124.2,0.0
Product_03,Client_193,2025-03-04,3,March,1,4,10.34,17.68,70.72,29.36,70.72,0.0
Product_28,Client_061,2025-11-06,11,November,1,2,22.08,25.4,50.8,6.64,50.8,0.0
Product_06,Client_105,2025-05-08,5,May,2,5,18.68,34.37,171.85,78.45,171.85,0.0
Product_16,Client_124,2025-02-23,2,February,4,2,18.25,32.12,64.24,27.74,64.24,0.0
Product_07,Client_103,2025-09-23,9,September,4,3,21.02,28.38,85.14,22.08,63.86,21.28
Product_29,Client_016,2025-07-28,7,July,4,2,24.95,40.57,81.14,31.24,81.14,0.0
Product_06,Client_098,2025-04-06,4,April,1,6,16.25,18.45,110.7,13.2,110.7,0.0
Product_01,Client_100,2025-09-21,9,September,3,3,9.3,13.1,39.3,11.4,19.65,19.65
Product_09,Client_117,2025-06-03,6,June,1,6,24.16,37.6,225.6,80.64,225.6,0.0
Product_10,Client_109,2025-06-03,6,June,1,3,5.61,7.51,22.53,5.7,22.53,0.0
Product_23,Client_188,2025-04-18,4,April,3,6,12.43,20.03,120.18,45.6,120.18,0.0
Product_26,Client_143,2025-09-06,9,September,1,3,16.1,19.96,59.88,11.58,59.88,0.0
Product_22,Client_184,2025-12-13,12,December,2,5,8.07,12.35,61.75,21.4,61.75,0.0
Product_16,Client_040,2025-05-19,5,May,3,2,17.94,29.72,59.44,23.56,59.44,0.0
Product_07,Client_076,2025-07-19,7,July,3,2,21.13,26.25,52.5,10.24,52.5,0.0
Product_07,Client_015,2025-01-04,1,January,1,3,18.88,23.1,69.3,12.66,34.65,34.65
Product_19,Client_189,2025-02-05,2,February,1,4,23.66,40.49,161.96,67.32,121.47,40.49
Product_18,Client_016,2025-07-02,7,July,1,3,22.33,34.73,104.19,37.2,104.19,0.0
Product_24,Client_081,2025-05-26,5,May,4,6,14.19,20.92,125.52,40.38,125.52,0.0
Product_02,Client_013,2025-10-30,10,October,5,2,10.95,15.66,31.32,9.42,31.32,0.0
Product_19,Client_123,2025-06-10,6,June,2,8,25.36,28.66,229.28,26.4,229.28,0.0
Product_17,Client_136,2025-11-23,11,November,4,5,20.07,24.31,121.55,21.2,121.55,0.0
Product_06,Client_015,2025-05-08,5,May,2,1,16.34,25.58,25.58,9.24,25.58,0.0
Product_17,Client_021,2025-08-17,8,August,3,5,21.1,32.49,162.45,56.95,162.45,0.0
Product_28,Client_048,2025-05-05,5,May,1,4,20.33,36.19,144.76,63.44,108.57,36.19
Product_03,Client_153,2025-09-09,9,September,2,3,12.46,21.11,63.33,25.95,63.33,0.0
Product_03,Client_173,2025-02-10,2,February,2,7,12.63,14.65,102.55,14.14,25.64,76.91
Product_28,Client_061,2025-07-09,7,July,2,4,23.77,28.99,115.96,20.88,115.96,0.0
Product_13,Client_031,2025-01-24,1,January,4,5,12.18,18.54,92.7,31.8,0.0,92.7
Product_29,Client_146,2025-08-14,8,August,2,4,25.94,45.06,180.24,76.48,180.24,0.0
Product_08,Client_149,2025-05-15,5,May,3,3,20.6,27.25,81.75,19.95,61.31,20.44
Product_20,Client_011,2025-01-24,1,January,4,3,4.38,7.75,23.25,10.11,23.25,0.0
Product_20,Client_021,2025-08-10,8,August,2,6,7.52,11.73,70.38,25.26,52.78,17.6
Product_14,Client_169,2025-07-27,7,July,4,4,12.02,19.05,76.2,28.12,57.15,19.05
Product_19,Client_145,2025-09-02,9,September,1,7,23.54,37.14,259.98,95.2,259.98,0.0
Product_17,Client_081,2025-10-05,10,October,1,2,18.71,19.89,39.78,2.36,39.78,0.0
Product_30,Client_067,2025-04-17,4,April,3,4,6.32,9.92,39.68,14.4,39.68,0.0
Product_07,Client_172,2025-02-18,2,February,3,2,19.29,29.26,58.52,19.94,58.52,0.0
Product_23,Client_081,2025-12-30,12,December,5,5,10.49,16.77,83.85,31.4,83.85,0.0
Product_08,Client_068,2025-01-27,1,January,4,5,22.55,31.93,159.65,46.9,159.65,0.0
Product_13,Client_034,2025-12-11,12,December,2,6,12.8,19.74,118.44,41.64,118.44,0.0
Product_22,Client_166,2025-11-13,11,November,2,2,11.41,14.16,28.32,5.5,28.32,0.0
Product_10,Client_118,2025-04-17,4,April,3,5,7.62,14.26,71.3,33.2,71.3,0.0
Product_11,Client_193,2025-09-22,9,September,4,2,7.6,13.68,27.36,12.16,27.36,0.0
Product_30,Client_019,2025-08-12,8,August,2,1,4.15,5.27,5.27,1.12,3.95,1.32
Product_01,Client_118,2025-10-16,10,October,3,4,6.63,10.8,43.2,16.68,43.2,0.0
Product_20,Client_145,2025-11-25,11,November,4,4,4.95,8.51,34.04,14.24,34.04,0.0
Product_04,Client_019,2025-07-21,7,July,3,2,13.04,22.3,44.6,18.52,44.6,0.0
Product_18,Client_055,2025-03-23,3,March,4,5,21.4,24.1,120.5,13.5,120.5,0.0
Product_17,Client_068,2025-10-25,10,October,4,4,21.44,33.77,135.08,49.32,101.31,33.77
Product_05,Client_090,2025-01-02,1,January,1,2,15.94,20.11,40.22,8.34,20.11,20.11
Product_29,Client_018,2025-02-10,2,February,2,5,24.05,40.22,201.1,80.85,201.1,0.0
Product_29,Client_063,2025-01-07,1,January,1,5,22.51,34.59,172.95,60.4,172.95,0.0
Product_12,Client_073,2025-09-08,9,September,2,3,8.26,12.87,38.61,13.83,38.61,0.0
Product_06,Client_113,2025-04-03,4,April,1,4,19.1,33.78,135.12,58.72,135.12,0.0
Product_27,Client_140,2025-08-28,8,August,4,7,18.63,30.37,212.59,82.18,212.59,0.0
Product_23,Client_078,2025-03-13,3,March,2,4,10.81,14.13,56.52,13.28,56.52,0.0
Product_20,Client_168,2025-11-05,11,November,1,3,7.53,12.96,38.88,16.29,0.0,38.88
Product_17,Client_003,2025-07-21,7,July,3,5,18.65,20.38,101.9,8.65,101.9,0.0
Product_22,Client_142,2025-09-20,9,September,3,4,11.43,19.6,78.4,32.68,58.8,19.6
Product_10,Client_170,2025-12-25,12,December,4,5,7.31,9.36,46.8,10.25,35.1,11.7
Product_04,Client_035,2025-08-26,8,August,4,2,12.57,16.88,33.76,8.62,25.32,8.44
Product_09,Client_030,2025-09-23,9,September,4,7,24.7,32.83,229.81,56.91,229.81,0.0
Product_29,Client_028,2025-07-06,7,July,1,4,24.57,39.12,156.48,58.2,156.48,0.0
Product_24,Client_142,2025-05-03,5,May,1,5,15.23,17.96,89.8,13.65,89.8,0.0
Product_05,Client_070,2025-06-27,6,June,4,1,14.68,19.96,19.96,5.28,19.96,0.0
Product_10,Client_155,2025-05-08,5,May,2,3,5.92,6.64,19.92,2.16,19.92,0.0
Product_07,Client_184,2025-06-23,6,June,4,6,21.93,33.86,203.16,71.58,203.16,0.0
Product_11,Client_053,2025-09-28,9,September,4,4,6.27,7.41,29.64,4.56,29.64,0.0
Product_22,Client_163,2025-04-25,4,April,4,3,10.92,16.0,48.0,15.24,24.0,24.0
Product_28,Client_068,2025-02-09,2,February,2,5,23.35,29.87,149.35,32.6,149.35,0.0
Product_17,Client_126,2025-02-21,2,February,3,2,21.33,31.71,63.42,20.76,63.42,0.0
Product_09,Client_014,2025-09-04,9,September,1,4,24.78,28.87,115.48,16.36,115.48,0.0
Product_03,Client_163,2025-09-19,9,September,3,7,12.05,13.86,97.02,12.67,97.02,0.0
Product_14,Client_071,2025-06-12,6,June,2,6,13.02,17.65,105.9,27.78,105.9,0.0
Product_02,Client_001,2025-08-19,8,August,3,4,8.78,13.3,53.2,18.08,53.2,0.0
Product_11,Client_198,2025-06-17,6,June,3,1,6.88,7.13,7.13,0.25,7.13,0.0
Product_05,Client_164,2025-05-21,5,May,3,5,14.35,21.44,107.2,35.45,107.2,0.0
Product_09,Client_042,2025-07-23,7,July,4,5,23.1,31.43,157.15,41.65,157.15,0.0
Product_24,Client_114,2025-08-29,8,August,5,7,14.55,15.85,110.95,9.1,110.95,0.0
Product_18,Client_181,2025-04-18,4,April,3,5,22.39,34.04,170.2,58.25,170.2,0.0
Product_14,Client_144,2025-03-15,3,March,3,7,12.56,14.09,98.63,10.71,98.63,0.0
Product_01,Client_029,2025-06-27,6,June,4,8,6.34,9.88,79.04,28.32,39.52,39.52
Product_03,Client_177,2025-09-23,9,September,4,3,13.41,17.8,53.4,13.17,53.4,0.0
Product_29,Client_039,2025-06-26,6,June,4,4,24.32,39.08,156.32,59.04,39.08,117.24
Product_18,Client_010,2025-10-27,10,October,4,5,21.72,26.41,132.05,23.45,132.05,0.0
Product_27,Client_095,2025-04-19,4,April,3,1,20.58,31.62,31.62,11.04,31.62,0.0
Product_19,Client_142,2025-11-17,11,November,3,3,25.37,38.3,114.9,38.79,114.9,0.0
Product_05,Client_111,2025-01-13,1,January,2,5,14.4,18.73,93.65,21.65,93.65,0.0
Product_05,Client_011,2025-03-18,3,March,3,2,15.95,19.47,38.94,7.04,38.94,0.0
Product_10,Client_094,2025-12-05,12,December,1,5,6.43,7.04,35.2,3.05,0.0,35.2
Product_29,Client_011,2025-06-04,6,June,1,4,22.99,38.81,155.24,63.28,77.62,77.62
Product_29,Client_092,2025-03-26,3,March,4,2,23.08,41.58,83.16,37.0,83.16,0.0
Product_07,Client_175,2025-12-31,12,December,5,3,19.96,28.46,85.38,25.5,21.34,64.04
Product_08,Client_171,2025-08-22,8,August,4,4,20.16,28.94,115.76,35.12,115.76,0.0
Product_04,Client_091,2025-11-21,11,November,3,4,14.98,21.52,86.08,26.16,86.08,0.0
Product_25,Client_144,2025-09-14,9,September,2,1,17.88,32.03,32.03,14.15,32.03,0.0
Product_29,Client_105,2025-04-06,4,April,1,4,25.05,34.09,136.36,36.16,136.36,0.0
Product_20,Client_192,2025-02-17,2,February,3,8,4.44,7.88,63.04,27.52,31.52,31.52
Product_05,Client_061,2025-08-19,8,August,3,3,17.89,22.71,68.13,14.46,51.1,17.03
Product_28,Client_042,2025-06-29,6,June,5,1,23.49,34.72,34.72,11.23,34.72,0.0
Product_26,Client_046,2025-12-02,12,December,1,6,19.98,21.83,130.98,11.1,130.98,0.0
Product_29,Client_106,2025-04-25,4,April,4,2,22.02,39.74,79.48,35.44,39.74,39.74
Product_01,Client_046,2025-01-04,1,January,1,3,8.89,12.08,36.24,9.57,36.24,0.0
Product_24,Client_086,2025-11-03,11,November,1,5,12.4,21.96,109.8,47.8,109.8,0.0
Product_26,Client_106,2025-02-10,2,February,2,3,18.84,29.13,87.39,30.87,43.7,43.69
Product_26,Client_172,2025-03-08,3,March,2,2,17.06,18.86,37.72,3.6,18.86,18.86
Product_28,Client_189,2025-01-09,1,January,2,2,20.86,29.43,58.86,17.14,58.86,0.0
Product_26,Client_064,2025-07-23,7,July,4,7,16.94,21.72,152.04,33.46,152.04,0.0
Product_09,Client_041,2025-04-13,4,April,2,4,25.53,43.52,174.08,71.96,174.08,0.0
